"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-30 12:30:00,0,0,86,0,0,0,0,0
2021-06-30 13:00:00,0,0,86,0,0,0,0,0
2021-06-30 13:30:00,0,0,86,0,0,0,0,0
2021-06-30 14:00:00,0,0,88,0,0,0,0,0
2021-06-30 14:30:00,0,0,86,0,0,0,0,0
2021-06-30 15:00:00,39,23,85,0,100,0,100,0
2021-06-30 15:30:00,0,2,87,0,0,0,0,0
2021-06-30 16:00:00,34,0,85,100,0,0,0,0
2021-06-30 16:30:00,0,0,87,0,0,0,0,0
2021-06-30 17:00:00,0,12,88,0,0,0,0,0
2021-06-30 17:30:00,0,0,89,0,0,0,0,0
2021-06-30 18:00:00,0,12,87,0,0,0,0,0
2021-06-30 18:30:00,0,0,88,0,0,0,0,0
2021-06-30 19:00:00,0,0,85,0,0,0,0,0

